video_id,subtitle,physical_tags,desc_A,desc_B,label,label_letter
samplenew3_00030551,"When I was having surgery, I wasn't there and there was a mistake. Why did you say he is raising my grandson?","[Acoustic Prosody] Voice energy=0.0686, Pitch var=7395.09, Sharpness=2271.6Hz, Speed=7.11b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] anger(max_prob:0.89), neutral(max_prob:0.84)","In the video, a doctor exhibits a complex emotional state, characterized by a lowered brow, raised upper eyelids, and a held-high chin. His tone and intonation are negative, and his words convey frustration and disappointment. The doctor's statement suggests a deep sense of responsibility and ownership, driven by feelings of anger and resentment towards someone or something that has compromised his authority and expertise.","In the text, caption content: ""I wasn't not present during the operation, if there was any mistake, I was not there either, what is he feeding me this big grandson for."" This sentence might be a complaint or dissatisfaction from a man towards someone or some event. Based on the emotional tone of the man described in the audio clues - his anger, frustration, and defeat - as well as the serious expression and tense body language of the man in the video clues, we can infer that the sentence may carry an undertone of dissatisfaction or blame. The man might be complaining about being absent when a mistake occurred and feeling angry and defeated about it. Mentioning ""feeding me this big grandson for"" might indicate his discontent with someone's actions or decisions. Therefore, this sentence expresses the man's negative emotions and dissatisfaction.",Prefer B,B
samplenew3_00056042,Knowing this in advance violates the heavenly authority.,"[Acoustic Prosody] Voice energy=0.0273, Pitch var=6520.89, Sharpness=1561.6Hz, Speed=6.43b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.95), surprise(max_prob:0.80)","In the text, the caption reads: ""To know this is to offend heaven's will."" This phrase could be an evaluation or reaction of the person towards a particular event or decision. Considering the video clues that depict a serious and focused expression along with body language, and the audio clues that describe urgency, anxiety, anger, and frustration, we can infer that this statement might carry a tense, worried, or regretful emotion. The person might have realized that their actions or decisions could lead to serious consequences, causing them to feel guilty or concerned. Therefore, this sentence might be an expression of self-reproach or warning, which alignss well with the overall solemn and tense emotional state portrayed.","In the video, a man sits in an ornate room, displaying a brow lowerer expression. He speaks in a normal tone, stating a fact without emotional inflection. This suggests his emotional state is neutral, indicating a lack of emotional investment in the topic.",Prefer A,A
samplenew3_00010285,The provincial procuratorate and the municipal public security bureau are both closely monitoring.,"[Acoustic Prosody] Voice energy=0.0324, Pitch var=1168.78, Sharpness=1247.7Hz, Speed=6.28b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.97), neutral(max_prob:0.90)","In the video, a man holds a horse figurine, but his facial expression is a neutral Brow Lowerer. His tone and intonation lack emotional inflections, and his speech appears to be a factual statement.","In the text, the caption reads: ""The provincial procuratorate and the municipal public security bureau are keeping a close eye on it."" This statement could be the speaker's's description of an event or situation. Given the audio clues, where the speaker's's voice is trembling, the tone is tense, and the video clues show the person's serious expression and full concentration posture, we can infer that this sentence might carry a sense of tension, anxiety, or concern. Therefore, this sentence might be describing a tense or difficult situation, which alignss with the person's overall solemn and immersed emotional portrayal.",Prefer B,B
samplenew3_00067581,This is bound to cause consumer dissatisfaction.,"[Acoustic Prosody] Voice energy=0.0586, Pitch var=662.91, Sharpness=1157.1Hz, Speed=7.97b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] surprise(max_prob:0.84), neutral(max_prob:0.55)","In the video, a Chinese businessman sits at a table, dressed in a suit and tie, with a relaxed facial expression and natural tone. The combination of the professional setting, calm demeanor, and straightforward speech suggests that the person's emotional state is neutral.","In the text, the subtitle reads: ""This is bound to cause imbalance in the minds of consumers."" This sentence may be an opinion or conclusion expressed by the man in the discussion. Based on the serious and contemplative facial expressions and body movements of the man in the video clues, as well as the trembling voice and tense tone in the audio clues, we can infer that this sentence may carry a sense of concern or worry. Therefore, this sentence may be the man's expression of concern or worry about a certain issue or situation in the discussion.",Prefer B,B
samplenew3_00004949,Absolutely not at all,"[Acoustic Prosody] Voice energy=0.0078, Pitch var=7470.06, Sharpness=2271.6Hz, Speed=6.63b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] fear(max_prob:0.94), sadness(max_prob:0.74)","In the video, a man's facial expression includes an upper lid raiser, indicating surprise. His skeptical tone and response, ""Absolutely not, ten thousand,"" suggest he is surprised by the unexpected or unbelievable statement being made.","In the text, the caption reads: ""Absolutely nothing multiplied by a million."" This sentence could be a man responding to a question or expressing his viewpoint. Given the audio cues describing the person's's voice trembling and shaking, as well as the tone conveying a sense of being overwhelmed or under significant stress, we can infer that the statement might carry a dismissive or firm tone. Therefore, this sentence could be the man emphasizing his point or denying something, which alignss with the man's's overall appearance of tension and being overwhelmed.",Prefer B,B
samplenew3_00059772,"Did you just find the feeling, like siblings or like lovers?","[Acoustic Prosody] Voice energy=0.0656, Pitch var=12375.75, Sharpness=2133.2Hz, Speed=6.29b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.98), surprise(max_prob:0.88)","In the video, a woman stands with a slight decrease in her eyebrows and a toothy smile, accompanied by dimples. Her tone and intonation are spoken with excitement. The combination of her physical expressions and excited tone suggests she is genuinely enthusiastic and joyful, indicating her emotional label is happy.","In the text, the caption reads: ""Is it more like siblings or lovers that you've found your feelings for?"" This sentence could be a question or speculation posed by a woman to someone. Given the audio cues describing the individual's voice as lively, highly passionate, and experiencing fluctuations of tension and anxiety, we can infer that the tone might carry an element of curiosity or teasing. Therefore, this sentence might be the woman questioning or speculating about the nature of someone's relationship, possibly in a teasing or joking manner, which alignss with her overall display of a slight positive or neutral mood.",Prefer B,B
samplenew3_00002126,Not every time can be as lucky as tonight to escape.,"[Acoustic Prosody] Voice energy=0.0388, Pitch var=3766.79, Sharpness=1671.3Hz, Speed=7.90b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] fear(max_prob:0.86), sadness(max_prob:0.67)","In the video, a woman stares intently at something, accompanied by a lowered brow and a fearful tone. Her words suggest regret and apprehension, implying a past event or situation that has caused her distress. Her fearful tone and lowered brow reinforce the idea that she is feeling a deep sense of sadness, likely stemming from loss, guilt, or helplessness.","In the text, the subtitle reads, ""Not every time can be as lucky as tonight."" This sentence is likely spoken by the woman to the other woman. Based on the description of the individual's emotions in the audio clues, which may include fear, anxiety, and nervousness, as well as the angry expression and body language displayed by the woman in the video, we can infer that this sentence may carry a tone of warning or concern. The woman may be expressing concern about something or expressing dissatisfaction with the other woman's behavior. Therefore, this sentence may imply the woman's concern about some kind of danger or adverse consequences.",Prefer B,B
samplenew3_00097761,Is it? Who told you that?,"[Acoustic Prosody] Voice energy=0.0472, Pitch var=15049.54, Sharpness=1833.5Hz, Speed=6.32b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] neutral(max_prob:0.94), surprise(max_prob:0.67)","In the video, a woman stands in a domestic setting, displaying facial expressions—lowered eyebrows and raised upper eyelids—that suggest skepticism, annoyance, or even anger. Her tone and questions convey incredulity and possibly frustration, implying she is reacting to something unacceptable or unbelievable, leading to anger or annoyance.","In the text, the subtitle reads, ""Is that so? Who told you?"" Based on the description of the individual feeling a mixture of excitement and anxiety in the audio clues, as well as the woman's perplexed expression and contemplative demeanor in the video clues, we can infer that this sentence may be the woman's response questioning or doubting the individual. The woman's perplexed expression and contemplative demeanor imply that she is confused by the individual's words, while the individual's mixture of excitement and anxiety may be due to their nervousness and excitement about their own viewpoint or statement. Therefore, this sentence is likely the woman's questioning or doubting response to the individual, expressing her uncertainty or skepticism towards the individual's words.",Prefer B,B
samplenew3_00059781,The thoughts and ideas of Your Majesty are reasonable and just.,"[Acoustic Prosody] Voice energy=0.0265, Pitch var=279.08, Sharpness=1983.1Hz, Speed=8.04b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00), Cheek Raiser(peak:1.00) | [Macro Emotion Base] sadness(max_prob:0.81), surprise(max_prob:0.47)","In the text, the caption reads: ""What your Majesty thinks is logical and reasonable."" This sentence could be a man's evaluation or response to someone or something. Given the visual clues in the video of the man smiling and appearing relaxed through his body language, along with the audio clue describing a calm and controlled tone of voice, we can infer that this sentence might be the man's's affirmation or approval of someone or something. The man's overall expression of mild positive or neutral emotion alignss well with this affirmation or approval.","In the video, a man dressed in traditional Chinese attire exhibits a cheek raiser expression, indicating satisfaction and approval. His tone and intonation sound natural, suggesting a genuine emotional state. The phrase ""Your Majesty's thoughts and thoughts are reasonable and reasonable"" implies he's pleased, further reinforcing his happy emotional state.",Prefer A,A
samplenew3_00023402,There is even a risk of riots.,"[Acoustic Prosody] Voice energy=0.0565, Pitch var=494.20, Sharpness=1446.8Hz, Speed=7.17b/s. | [Facial Micro-movements] Brow Lowerer(peak:1.00), Nose Wrinkler(peak:1.00), Upper Lip Raiser(peak:1.00) | [Macro Emotion Base] disgust(max_prob:0.65), anger(max_prob:0.64)","In the text, caption content: ""There is even a risk of rioting."" This sentence might be a man expressing his concern or worry about a certain situation. Given the speaker's's description in the audio clues, with their voice pitched high and anxious, higher than usual, and speaking quickly with a sense of urgency, we can infer that this sentence might reflect the man's's worry about a potential riot or chaotic situation. This alignss with the video clues showing the man's's anger and defensive body language. However, without more context or information, we cannot determine specifically what situation or background this phrase refers to.","In the video, a person sits on a couch, wearing traditional Chinese attire, with a lowered brow, indicating a somber mood. Their words, ""There may even be riots,"" suggest a sense of concern or anxiety, which, when combined with their facial expression, implies a deeper emotional state of sadness or despair.",Prefer A,A
samplenew3_00027485,Enjoy the rare last day of leisure and let it be.,"[Acoustic Prosody] Voice energy=0.0124, Pitch var=5120.83, Sharpness=1902.9Hz, Speed=4.35b/s. | [Facial Micro-movements] Outer Brow Raiser(peak:1.00), Upper Lid Raiser(peak:1.00), Lid Tightener(peak:1.00) | [Macro Emotion Base] happiness(max_prob:0.98), sadness(max_prob:0.75)","In the video, a woman is seen sitting at a table, smiling at the camera with a big smile and dimples, suggesting relaxation and contentment. Her tone and intonation convey ease and comfort, and her words imply freedom and indulgence, often associated with happiness.","In the text, caption content: ""Rare chance of leisure on the last day, let it be."" This sentence might be a self-assessment or response from a woman. Given the individual's mixed emotions of sadness, anger, and frustration described in the audio cues, and the caption's description of ""rare chance of leisure on the last day,"" we can infer that this sentence might carry a sense of relief, relaxation, and release of stress. The woman may realize she is going through a tough or stressful period, but she decides to let everything go and enjoy the last day's of peace and freedom. Therefore, this sentence expresses a positive attitude and decision from the woman towards herself.",Prefer B,B
samplenew3_00036203,The way women and men communicate with each other is only two.,"[Acoustic Prosody] Voice energy=0.0917, Pitch var=3508.77, Sharpness=1442.2Hz, Speed=8.13b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] happiness(max_prob:0.91), surprise(max_prob:0.79)","In the video, a woman sits in a room with a large window, smiling directly at the camera with a dimpler expression, indicating a genuine and relaxed demeanor. Her tone and intonation are normal, suggesting a calm and composed delivery.","In the text, based on the visual clues such as the woman speaker sitting up straight with a focused gaze and body language, and the audio hints describing her with a high-pitched tone, more dynamic and enthusiastic modulation, it can be inferred that the woman speaker might be experiencing positive emotions, such as happiness or excitement. On the other hand, the man speakerers might be experiencing negative emotions, like frustration or anger. Therefore, the woman speaker may be conveying a positive message or discussing an exciting topic that excites her, whereas the man speaker might feel discontented or disagree with this.",Prefer A,A
samplenew3_00080695,This time my sister has encountered some trouble again.,"[Acoustic Prosody] Voice energy=0.0571, Pitch var=8354.20, Sharpness=1502.9Hz, Speed=8.35b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] fear(max_prob:0.95), sadness(max_prob:0.83)","In the text, caption content: ""This time my sister is in trouble again."" This sentence might be an Asian man's comment or complaint about some event or situation in the video. Based on the complex emotions (sadness, anger, frustration, and confusion described in the audio clues, as well as the man's's expressions of surprise, fear, and anger along with tense body language in the video clues, we can infer that this sentence might carry a tone of disappointment, dissatisfaction, or complaint. It could be the man's's reaction to something not going well or troubling him.","In the video, a man with a somber expression, characterized by lowered eyebrows, and a negative tone, is seen holding something in his hand and looking at it with a contemplative gaze. His words convey concern and possibly despair, suggesting he is deeply troubled and upset, likely feeling sad due to his sister's difficulties.",Prefer B,B
samplenew3_00095653,I have never seen so much money before.,"[Acoustic Prosody] Voice energy=0.0127, Pitch var=6264.85, Sharpness=2696.8Hz, Speed=7.92b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] fear(max_prob:0.83), sadness(max_prob:0.77)","In the video, a woman stands in a dimly lit room with a lowered brow and a slight frown, suggesting a sense of melancholy. Her statement, ""I've never seen so much money before,"" implies sadness or regret, likely due to feelings of guilt, loss, or disappointment.","In the text, the subtitle reads: ""I've never seen so much money."" Given the individual's trembling and shaking voice as described in the audio cues, along with their slow and deliberate pace, it indicates that the person might be experiencing intense negative emotions such as fear or anxiety. This statement could be a reaction to some financial situation or wealth. Considering the emotional state of the individual, the tone of this sentence might convey a sense of surprise, shock, or unease. Therefore, this sentence likely expresses a feeling of astonishment or uncertainty about the quantity of money they have witnessed.",Prefer B,B
samplenew3_00074973,How do you know that Wang Xiong is not thirsty for wine?,"[Acoustic Prosody] Voice energy=0.0302, Pitch var=8688.60, Sharpness=1577.2Hz, Speed=6.61b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Upper Lid Raiser(peak:1.00) | [Macro Emotion Base] surprise(max_prob:0.98), neutral(max_prob:0.74)","In the video, a man dressed in traditional Chinese attire, adorned with a crown, sits on a couch, surrounded by luxurious furniture and decorations. His facial expressions, including a big smile, convey a sense of pleasure and joy.","In the text, caption content: ""How do you know it wasn'tn the Prince being tempted by the wine?"" This sentence might be a man's evaluation or response to someone else. Given the video clues where the man smiles and makes a comical expression, along with his body language suggesting a relaxed and comfortable mood, we can infer that this statement might carry a humorous or teasing tone. Meanwhile, considering the audio clues where the speaker tries to convey a sense of importance or authority, we could speculate that this sentence might be the man responding humorously to someone's comment or speculation. Therefore, this sentence is in line line with the overall positive emotion the man is displaying.",Prefer B,B
samplenew3_00062413,"I'm sorry, I hurt you.","[Acoustic Prosody] Voice energy=0.1003, Pitch var=5010.07, Sharpness=1543.1Hz, Speed=6.82b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] disgust(max_prob:0.97), fear(max_prob:0.85)","In the video, a man and a woman have a conversation on a couch, with the individual's facial expression characterized by a lid tightener, indicating focused attention, and their tone is neutral. The person's apology/sympathy statement suggests a neutral emotional state, as they are conveying a message without strong emotions.","In the text, the subtitle reads, ""I'm sorry for what I did to you, Zhang Bailu."" This sentence is likely an apology from the woman to the man. Based on the relaxed posture of the man in the video and the observing posture of the woman, as well as the sad tone and low pitch of the female voice in the audio, we can infer that the woman may be feeling sad and disappointed while apologizing. Her apology may be related to her emotional state, possibly because her actions or words have caused dissatisfaction or hurt the man's feelings. Therefore, this sentence expresses the woman's remorse and apology to the man.",Prefer B,B
samplenew3_00059176,"At such an old age, you still don't take care of everything and make me worry.","[Acoustic Prosody] Voice energy=0.0384, Pitch var=2976.72, Sharpness=2022.7Hz, Speed=7.27b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] neutral(max_prob:0.93), sadness(max_prob:0.89)","In the text, caption reads: ""Such an age yet you still cause the Empress to worry."" This phrase might be a woman's evaluation or reaction towards someone. Given the speaker's's quick pace, sense of urgency as indicated by the audio clues, and use of words suggesting the speaker feels anxious, frustrated, and under too much pressure, we can infer that this statement might carry a tone of concern or blame. The woman's calm facial expression and thoughtful emotional state supports this inference. Therefore, this statement could be a woman expressing concern or blame towards someone, in line with her overall display of introspection and focused emotions.","In the video, a woman's flared nostrils, negative tone, and concerned words (""A lot of age, still neglecting everything, makes the Ai family worry"") suggest she is worried about the well-being of the Ai family.",Prefer A,A
samplenew3_00021815,"If I educate you, you will use this to choke me. Why don't you learn from good people like your grandmother, father, and other capable aunts? They are so much better. Why don't you learn?","[Acoustic Prosody] Voice energy=0.1569, Pitch var=7162.57, Sharpness=1620.9Hz, Speed=6.24b/s. | [Facial Micro-movements] Inner Brow Raiser(peak:1.00), Outer Brow Raiser(peak:1.00), Brow Lowerer(peak:1.00) | [Macro Emotion Base] surprise(max_prob:0.98), fear(max_prob:0.84)","In the text, the caption reads: ""Educating you would have made you use this phrase to stick it back at me, why don't you learn from decent people like your grandmother, father, or Auntie Ganjiang? How come you don't pick up something good from them?"" Based on the emotional cues described in the audio and the serious facial expression and body language of the man depicted in the video, we can infer that the tone of this statement likely carries an element of anger or dissatisfaction. The man appears to have directed a scolding or critical remark at someone nearby, expressing his frustration. This emotion could align with his stern demeanor and body language.","In the video, a man displays facial expressions of anger, including lowered eyebrows and facial tightness, while speaking in a fearful tone. His words suggest frustration and disappointment, indicating a strong emotional response primarily driven by anger.",Prefer A,A
